lat,lng,label,status,lith,b_age,t_age,unit_name,map_source
33.688606570066284,-82.2523840285985,0,OK,mudstone-carbonate-sandstone-conglomerate,541.0,485.4,Paleozoic sedimentary and volcanic rocks,154
31.167947297102845,-84.83541019876479,0,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7
33.057293592018716,-82.81234725576768,0,OK,Major:{sand},34.992,34.875,Irwinton Sand,133
34.69048604475432,-84.26475811662299,0,OK,sedimentary rocks,1000.0,541.0,Neoproterozoic sedimentary rocks,154
32.27837292641401,-82.29261444887632,0,OK,"Major:{sandstone,claystone}",17.6463,17.0875,Neogene undifferentiated,133
32.29095813938282,-84.74269161665482,0,OK,"sand, chalk, mud",74.975,71.0833,Late Cretaceous sedimentary,7
31.706618917594803,-82.52178181113132,0,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7
32.2719999131453,-83.605581192543,0,OK,sedimentary,33.9,23.03,Oligocene sedimentary,7
33.88155590117029,-84.7721899795928,0,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
32.04970407453827,-83.66781145066476,0,OK,Major:{limestone},31.9667,26.41,Suwannee Limestone and its residuum,133
32.9377875992889,-82.87025250678973,0,OK,Major:{sand},34.992,34.875,Irwinton Sand,133
33.55891537290879,-84.8607087719246,0,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.345699033833235,-83.45770673767545,0,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
34.2022281894378,-83.84471416227916,0,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.35964363397209,-84.29864895818363,0,OK,sedimentary rocks,1000.0,541.0,Neoproterozoic sedimentary rocks,154
32.97327058271971,-82.13034285778019,0,OK,Major:{clay},35.46,34.68,Twiggs Clay,133
31.725590616606453,-84.12973903280286,0,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7
34.19082720210375,-83.0356298103459,0,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
32.449884379134204,-82.66518225896479,0,OK,"Major:{sandstone,claystone}",17.6463,17.0875,Neogene undifferentiated,133
31.695529280894846,-84.75639374764324,0,OK,"sand,mud,clay,chalk",41.3,40.425,Middle Eocene sedimentary,7
31.15536835618208,-81.62217910062148,0,OK,Major:{fine alluvium},2.588,0.0117,Pamlico shoreline complex - marsh and lagoonal facies,133
33.20030344782043,-84.71674524290529,0,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
33.85603754843766,-84.56038181173442,0,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.70428750359007,-84.06515110871955,0,OK,sedimentary rocks,1000.0,541.0,Neoproterozoic sedimentary rocks,154
30.899752105015775,-82.78880605474738,0,OK,sedimentary,5.333,2.588,Pliocene sedimentary,7
33.15070114255643,-82.33292866614312,0,OK,Major:{sand},34.992,34.875,Irwinton Sand,133
32.70809580286445,-82.46631873209442,0,OK,"Major:{sandstone,claystone}",17.6463,17.0875,Neogene undifferentiated,133
33.24896527021904,-82.93820486083544,0,OK,mudstone-carbonate-sandstone-conglomerate,541.0,485.4,Paleozoic sedimentary and volcanic rocks,154
31.782601104228668,-84.14791569276633,0,OK,"sandstone, clay, chalk, limestone,",37.8,37.15,Late Eocene sedimentary,7
32.3621725547459,-81.28152491531588,0,OK,Major:{fine alluvium},2.588,0.0117,Wicomico Shoreline Complex - marsh and lagoonal facies,133
32.93167508127034,-85.15020687998107,0,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
32.92354823570628,-82.21263176336399,0,OK,"Major:{sandstone,claystone}",17.6463,13.82,Neogene undifferentiated,133
