lat,lng,site_name,dev_stat,label,status,lith,b_age,t_age,unit_name,map_source
34.3384,-83.83269,O'Shields,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.34793,-83.8285,Merk,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.35843,-83.8193,Longstreet Mine,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.35843,-83.8193,Pass,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41403,-84.09991,Ellsworth,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41403,-84.09991,Magic,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41403,-84.09991,Baby Pl.,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41403,-84.09991,Amicalola,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41403,-84.09991,Miller Pl.,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Hammond,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Church,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Shelton,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Proctor's,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Morse,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,G.E. Russell,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Cooper,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.74182,-84.41662,Holt,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.74182,-84.41662,Turkey Pen,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.74182,-84.41662,Whitaker,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.93622,-84.08601,Teague,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.05983,-84.64572,Garrison,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.07091,-84.6484,Hamilton,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.01977,-84.30875,Mason (Gold),Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.01954,-84.30821,Lizzard Lope,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.01609,-84.18436,Mcclure,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
